,index,Index,N,-logL,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11
60948,225,11944,1.0,92.2084,0.06589261,4.370236,0.02098311,0.941366,0.7707274,-1.360802,2.770894,-0.0002669893,1.079606,0.1473347,1.043289
60953,230,12751,5.0,93.254,0.06589261,4.370236,0.02098311,0.941366,0.7707274,-1.360802,2.412931,3.64246e-05,1.234349,0.1473347,1.043289
60956,233,13277,4.0,92.2963,0.1065564,3.212139,0.02081176,1.013129,0.7796984,-0.9477446,2.162719,-4.86943e-05,1.191635,0.210571,0.8661027
60960,237,13195,3.0,89.7377,0.1525498,2.394554,0.0229304,0.9967856,0.673001,-0.2767138,2.526881,-0.0001190833,0.9776112,0.3888553,0.6830148
60961,238,12426,1.0,90.1238,0.1525498,2.394554,0.0229304,0.9967856,0.673001,-0.2767138,2.124584,-0.0001627527,0.8927274,0.3888553,0.6830148
60963,240,13208,2.0,93.0418,0.1135548,3.257407,0.0249986,0.8961002,0.6941865,-0.8688559,2.18383,-0.000138004,0.9204109,0.2888545,0.8357586
60966,243,11306,2.0,92.9537,0.1248779,2.510785,0.02522376,1.107246,0.6634958,-0.05931373,2.079485,-0.0001615092,0.879601,0.3424277,0.6558064
60968,245,11686,3.0,90.7367,0.1195859,3.04025,0.02277767,0.9522904,0.7000531,-0.5197954,2.33095,-0.0003007316,0.9948684,0.2918081,0.807725
60975,252,13877,2.0,94.0669,0.1885236,2.250587,0.02219014,0.8096161,0.7780828,-0.3448341,2.589955,-0.0004297646,0.8578449,0.3491137,0.6889904
60976,253,11904,1.0,96.7745,0.1397712,2.907371,0.02431913,0.9191231,0.7253941,-0.30579,2.594145,-0.0004226097,0.8492262,0.3130664,0.8197626
60978,255,11159,14.0,91.4761,0.1714397,2.304488,0.02594243,0.9505933,0.7215404,0.1441768,2.539789,-0.0001845321,0.8422215,0.3803659,0.6846923
60981,258,10518,4.0,91.6159,0.1511981,2.409876,0.0260641,1.104701,0.7587397,-0.1489377,2.397111,-0.0003447295,0.9329161,0.3090336,0.7289341
60982,259,14714,2.0,91.854,0.1326096,2.534645,0.02524068,1.155814,0.7218538,-0.2808391,2.42448,-0.0003424223,0.9321039,0.3041694,0.7230567
60987,264,10421,4.0,92.9694,0.08970414,3.165168,0.02569558,1.200566,0.6570835,0.1858987,2.603164,6.078633e-05,1.105525,0.2687702,0.7443129
60989,266,11053,3.0,94.6937,0.07950737,3.75679,0.02185779,1.155687,0.6808937,0.3366875,2.672627,5.092149e-05,1.090528,0.2200296,0.9385973
60991,268,14131,7.0,92.3014,0.07950737,3.75679,0.02185779,1.155687,0.6808937,0.3366875,2.943839,0.0002448493,1.101471,0.2200296,0.9385973
60992,269,13250,2.0,93.9827,0.07950737,3.75679,0.02185779,1.155687,0.6808937,0.3366875,3.110123,0.0003525239,1.109968,0.2200296,0.9385973
61007,284,13486,5.0,91.8487,0.1910076,2.034397,0.02292535,1.07873,0.8074251,0.4831303,2.238054,0.0001495783,1.093776,0.3291386,0.7152513
61011,288,10037,3.0,91.047,0.1631576,2.212236,0.02494135,1.053094,0.7531804,0.05365441,2.576935,-2.273634e-06,1.055189,0.3327156,0.6790748
61019,296,12906,1.0,92.1949,0.1065364,3.133799,0.02337479,1.013413,0.7212773,-1.144877,2.936571,0.0001778706,0.8262512,0.2509516,0.803272
61024,301,13561,2.0,96.3687,0.1731061,2.00885,0.02597673,1.126493,0.677221,-0.8920742,2.772888,9.891647e-05,0.8119119,0.4354876,0.6281559
61025,302,13502,11.0,94.9926,0.1731061,2.00885,0.02597673,1.126493,0.677221,-0.8920742,2.284879,0.0003942761,0.9638807,0.4354876,0.6281559
61026,303,14915,14.0,94.2932,0.1731061,2.00885,0.02597673,1.126493,0.677221,-0.8920742,2.150108,0.0003810102,0.981223,0.4354876,0.6281559
61028,305,12423,1.0,92.3857,0.1558232,2.087845,0.02423825,1.173088,0.684195,-0.7278411,2.16766,0.0003764056,0.9637579,0.3860218,0.6378689
61031,308,10730,3.0,91.2401,0.1790221,2.01381,0.02577952,0.9534122,0.6934436,-0.7988574,2.330661,0.0002054247,0.9618314,0.4272429,0.6001933
61035,312,11766,8.0,90.6808,0.1845537,1.952571,0.02300918,1.029995,0.7273228,-0.9543565,2.228023,-3.775165e-05,0.9226806,0.3935872,0.6337408
61041,318,12848,12.0,90.4681,0.1833024,2.042474,0.02010521,0.9752243,0.7251149,-0.5170579,2.287008,-0.000260042,0.9639094,0.3880849,0.655477
61044,321,12439,2.0,90.7365,0.2107096,2.017139,0.02118473,0.8466584,0.8053614,-0.8475426,2.128655,-0.0001477044,0.9756977,0.3585199,0.6710233
61046,323,12063,7.0,92.0653,0.2181359,1.927915,0.01971442,0.8657628,0.8184531,-1.185543,2.179976,-0.0001661755,1.139001,0.3560334,0.6681225
61048,325,10930,8.0,91.9144,0.2181359,1.927915,0.01971442,0.8657628,0.8184531,-1.185543,2.355475,-0.0002898666,1.043883,0.3560334,0.6681225
61049,326,11398,1.0,91.3833,0.2181359,1.927915,0.01971442,0.8657628,0.8184531,-1.185543,2.187204,-0.0001686019,1.042201,0.3560334,0.6681225
61053,330,11925,8.0,93.5393,0.1892888,2.227326,0.01973788,0.9975639,0.8187366,-1.241586,2.443604,2.98614e-05,1.125001,0.3127877,0.7703674
61055,332,10626,14.0,93.9312,0.1892888,2.227326,0.01973788,0.9975639,0.8187366,-1.241586,2.465187,0.0001188766,0.8805039,0.3127877,0.7703674
61057,334,13724,4.0,92.4371,0.1740454,1.996098,0.01960549,1.064465,0.752816,-1.24852,2.260074,0.0002432151,0.9255555,0.342834,0.6597385
